"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
110,21,82,all,999,"",contains,Jernih,Jernih,"",0,"2024-10-14 09:28:19","2024-12-11 12:26:40",Dev Token,Dev Token,288917
111,21,83,all,999,"",range,"5.0,8.0","5.0 - 8.0","",0,"2024-10-14 09:28:20","2024-12-11 12:26:42",Dev Token,Dev Token,288917
112,21,88,all,999,"",range,"1.001,1.035","1.001 - 1.035","",0,"2024-10-14 09:28:22","2024-12-11 12:26:43",Dev Token,Dev Token,288917
113,21,87,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:23","2024-12-11 12:26:45",Dev Token,Dev Token,288917
114,21,90,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:24","2024-12-11 12:26:46",Dev Token,Dev Token,288917
115,21,89,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:25","2024-12-11 12:26:47",Dev Token,Dev Token,288917
116,21,85,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:26","2024-12-11 12:26:49",Dev Token,Dev Token,288917
117,21,91,all,999,Ery/uL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:27","2024-12-11 12:26:50",Dev Token,Dev Token,288917
118,21,92,all,999,mg/dL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:29","2024-12-11 12:26:51",Dev Token,Dev Token,288917
119,21,86,all,999,"",contains,Negatif,Negatif,"",0,"2024-10-14 09:28:30","2024-12-11 12:26:53",Dev Token,Dev Token,288917
120,21,84,all,999,Leu/uL,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:31","2024-12-11 12:26:54",Dev Token,Dev Token,288917
121,21,95,all,999,/LPB,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:37","2024-12-11 12:27:01",Dev Token,Dev Token,288917
122,21,97,all,999,/LPB,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:38","2024-12-11 12:27:02",Dev Token,Dev Token,288917
123,21,304,all,999,/LPB,contains,Negatif,Negatif,"",0,"2024-10-14 09:28:39","2024-12-11 12:27:04",Dev Token,Dev Token,288917
124,21,96,all,999,"",contains,Negatif,Negatif,"",0,"2024-10-14 09:28:41","2024-12-11 12:27:05",Dev Token,Dev Token,288917
125,21,163,all,999,mg/dL,range,"0,149",< 150,"",0,"2024-10-17 19:06:30","2024-12-11 12:27:07",Dev Token,Dev Token,288917
126,22,1,male,999,g/dL,range,"13.2,17.3","13.2 - 17.3","",0,"2024-12-11 12:26:39","2024-12-12 11:36:22",Dev Token,Dev Token,289274
127,20,1,male,999,g/dL,range,"13.2,17.3","13.2 - 17.3","",0,"2024-12-11 12:26:40","2024-12-12 11:36:22",Dev Token,Dev Token,289274
128,22,1,female,999,g/dL,range,"11.7,15.5","11.7- 15.5","",0,"2024-12-11 12:26:41","2024-12-12 11:36:23",Dev Token,Dev Token,289274
129,20,1,female,999,g/dL,range,"11.7,15.5","11.7- 15.5","",0,"2024-12-11 12:26:41","2024-12-12 11:36:24",Dev Token,Dev Token,289274
130,22,2,male,999,%,range,"40.0,52.0","40.0 - 52.0","",0,"2024-12-11 12:26:42","2024-12-12 11:36:25",Dev Token,Dev Token,289274
131,20,2,male,999,%,range,"40.0,52.0","40.0 - 52.0","",0,"2024-12-11 12:26:42","2024-12-12 11:36:25",Dev Token,Dev Token,289274
132,22,2,female,999,%,range,"35.0,47.0","35.0 - 47.0","",0,"2024-12-11 12:26:43","2024-12-12 11:36:26",Dev Token,Dev Token,289274
133,20,2,female,999,%,range,"35.0,47.0","35.0 - 47.0","",0,"2024-12-11 12:26:43","2024-12-12 11:36:27",Dev Token,Dev Token,289274
134,22,102,male,999,"10⁶/uL",range,"4.40,5.90","4.40 - 5.90","",0,"2024-12-11 12:26:44","2024-12-12 11:36:28",Dev Token,Dev Token,289274
135,20,102,male,999,"10⁶/uL",range,"4.40,5.90","4.40 - 5.90","",0,"2024-12-11 12:26:44","2024-12-12 11:36:28",Dev Token,Dev Token,289274
136,22,102,female,999,"10⁶/uL",range,"3.80,5.20","3.80 - 5.20","",0,"2024-12-11 12:26:45","2024-12-12 11:36:30",Dev Token,Dev Token,289274
137,20,102,female,999,"10⁶/uL",range,"3.80,5.20","3.80 - 5.20","",0,"2024-12-11 12:26:45","2024-12-12 11:36:30",Dev Token,Dev Token,289274
138,22,105,all,999,fL,range,"80,100","80 - 100","",0,"2024-12-11 12:26:47","2024-12-12 11:36:31",Dev Token,Dev Token,289274
139,20,105,all,999,fL,range,"80,100","80 - 100","",0,"2024-12-11 12:26:47","2024-12-12 11:36:31",Dev Token,Dev Token,289274
140,22,104,all,999,pg,range,"26,34","26 - 34","",0,"2024-12-11 12:26:48","2024-12-12 11:36:33",Dev Token,Dev Token,289274
141,20,104,all,999,pg,range,"26,34","26 - 34","",0,"2024-12-11 12:26:48","2024-12-12 11:36:33",Dev Token,Dev Token,289274
142,22,103,all,999,g/dL,range,"32,36","32 - 36","",0,"2024-12-11 12:26:49","2024-12-12 11:36:34",Dev Token,Dev Token,289274
143,20,103,all,999,g/dL,range,"32,36","32 - 36","",0,"2024-12-11 12:26:49","2024-12-12 11:36:34",Dev Token,Dev Token,289274
144,22,296,male,999,fL,range,"35.1,43.9","35.1 - 43.9","",0,"2024-12-11 12:26:50","2024-12-12 11:36:36",Dev Token,Dev Token,289274
145,20,296,male,999,fL,range,"35.1,43.9","35.1 - 43.9","",0,"2024-12-11 12:26:50","2024-12-12 11:36:36",Dev Token,Dev Token,289274
146,22,296,female,999,fL,range,"36.4,46.3","36.4 - 46.3","",0,"2024-12-11 12:26:51","2024-12-12 11:36:37",Dev Token,Dev Token,289274
