"id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
258,34,transportation_fee_condition,false,,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
259,34,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
260,34,transportation_fee,"0",,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
261,34,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
262,34,min_cart_price,"0",,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
263,34,timezone,Asia/Jakarta,1,"2025-01-16 16:36:04",wiwin.dwiutami.hakim,"2025-01-16 16:36:04",wiwin.dwiutami.hakim
264,2,transportation_fee_condition,false,,"2025-02-14 11:12:47",wiwin.dwiutami.hakim,"2025-02-14 11:12:47",wiwin.dwiutami.hakim
265,2,transportation_fee,"0",,"2025-02-14 11:12:47",wiwin.dwiutami.hakim,"2025-02-14 11:12:47",wiwin.dwiutami.hakim
266,2,min_cart_price,"0",,"2025-02-14 11:12:47",wiwin.dwiutami.hakim,"2025-02-14 11:12:47",wiwin.dwiutami.hakim
267,2,timezone,Asia/Jakarta,1,"2025-02-14 11:12:47",wiwin.dwiutami.hakim,"2025-02-14 11:12:47",wiwin.dwiutami.hakim
268,2,timezone,Asia/Jakarta,1,"2025-02-14 11:12:47",wiwin.dwiutami.hakim,"2025-02-14 11:12:47",wiwin.dwiutami.hakim
269,35,time_span_allowed_for_cancellation,"24",,"2025-04-25 11:27:23",wiwin.dwiutami.hakim,"2025-04-25 11:27:24",wiwin.dwiutami.hakim
