"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
82,4,18,inactive,Bandung North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
83,4,19,inactive,Bandung South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
84,4,20,inactive,Bandung - Cimahi,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
85,4,21,inactive,Sidoarjo,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
86,4,22,inactive,Surabaya West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
87,4,23,inactive,Surabaya North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
88,4,24,inactive,Surabaya South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
89,4,27,inactive,Bandung - Padalarang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
90,4,28,inactive,Semarang South East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
91,4,29,inactive,Semarang South West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
92,4,30,inactive,Semarang Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
93,4,31,inactive,Semarang East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
94,4,32,inactive,Semarang North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
95,4,33,inactive,Bali Kuta South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
96,4,34,inactive,Bali Kuta North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
97,4,35,inactive,Bali Denpasar,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
98,4,36,inactive,Malang South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
99,4,37,inactive,Malang North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
100,4,38,inactive,Malang - Batu,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
101,4,39,inactive,Yogyakarta South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
102,4,40,inactive,Yogyakarta North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
